model,config,sum_rmse,rmse_lo,rmse_hi,time_s,status
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 64}",0.11623,0.1323,0.10016,2.75,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 128}",0.11887,0.12169,0.11605,1.75,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 256}",0.11887,0.12169,0.11605,1.71,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 32}",0.19979,0.16292,0.23666,9.32,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 64}",0.13982,0.15706,0.12258,5.56,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 128}",0.1432,0.15399,0.13241,3.42,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.1432,0.15399,0.13241,3.48,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.27839,0.31758,0.23921,14.19,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.11775,0.13493,0.10057,8.3,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.11861,0.13035,0.10687,5.1,ok
NN,"{""hidden_sizes"": [1024], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.11861,0.13035,0.10687,5.71,ok
