model,config,sum_rmse,rmse_lo,rmse_hi,time_s,status
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 128}",0.136,0.14309,0.1289,2.02,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.001, ""epochs"": 300, ""batch_size"": 256}",0.136,0.14309,0.1289,2.06,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 32}",0.10753,0.10191,0.11315,1.18,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 64}",0.13245,0.15153,0.11336,0.67,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 128}",0.13245,0.15153,0.11336,0.69,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 100, ""batch_size"": 256}",0.13245,0.15153,0.11336,0.7,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 32}",0.14653,0.15566,0.1374,2.3,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 64}",0.15284,0.16682,0.13887,1.37,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 128}",0.15284,0.16682,0.13887,1.38,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 200, ""batch_size"": 256}",0.15284,0.16682,0.13887,1.34,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 32}",0.17454,0.19478,0.15429,3.44,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 64}",0.16801,0.17686,0.15917,2.03,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 128}",0.16801,0.17686,0.15917,2.02,ok
NN,"{""hidden_sizes"": [512], ""lr"": 0.003, ""epochs"": 300, ""batch_size"": 256}",0.16801,0.17686,0.15917,2.04,ok
