model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
XGB,200,9,7,0.821667,1.6024,0.1592,2.0893,0.11
XGB,200,9,8,0.821667,1.6007,0.1629,2.0869,0.11
XGB,200,9,9,0.823333,1.6052,0.1574,2.0857,0.11
XGB,200,9,-1,0.828333,1.6061,0.1588,2.0854,0.0
XGB,300,0,0,0.833333,1.6335,0.1436,2.029,0.11
XGB,300,0,1,0.843333,1.6362,0.1466,2.0374,0.12
XGB,300,0,2,0.838333,1.6219,0.1511,2.034,0.11
XGB,300,0,3,0.835,1.6296,0.1492,2.0278,0.11
XGB,300,0,4,0.836667,1.6277,0.1488,2.0349,0.11
XGB,300,0,5,0.833333,1.6191,0.1505,2.0523,0.11
XGB,300,0,6,0.835,1.6342,0.1442,2.03,0.11
XGB,300,0,7,0.843333,1.6369,0.1478,2.0256,0.11
XGB,300,0,8,0.84,1.631,0.1446,2.034,0.11
XGB,300,0,9,0.831667,1.6328,0.1439,2.0305,0.11
XGB,300,0,-1,0.835,1.6303,0.1462,2.0307,0.0
XGB,300,1,0,0.818333,1.6231,0.1386,2.0854,0.11
XGB,300,1,1,0.826667,1.6278,0.1376,2.0814,0.11
XGB,300,1,2,0.82,1.6264,0.1454,2.0861,0.11
XGB,300,1,3,0.821667,1.616,0.1461,2.085,0.11
XGB,300,1,4,0.826667,1.6215,0.1413,2.0877,0.11
XGB,300,1,5,0.811667,1.6099,0.1469,2.0935,0.11
XGB,300,1,6,0.82,1.6214,0.1443,2.0953,0.11
XGB,300,1,7,0.828333,1.636,0.1358,2.0638,0.11
XGB,300,1,8,0.82,1.6238,0.1383,2.0835,0.11
XGB,300,1,9,0.816667,1.6188,0.1456,2.0905,0.11
XGB,300,1,-1,0.815,1.6225,0.1407,2.0825,0.0
XGB,300,2,0,0.845,1.6455,0.1366,2.0232,0.12
XGB,300,2,1,0.841667,1.6312,0.1504,2.0445,0.11
XGB,300,2,2,0.845,1.6306,0.1734,2.0635,0.11
XGB,300,2,3,0.845,1.6383,0.1461,2.0484,0.11
XGB,300,2,4,0.843333,1.6402,0.1581,2.0744,0.11
XGB,300,2,5,0.846667,1.641,0.144,2.0397,0.09
XGB,300,2,6,0.853333,1.6544,0.1407,2.039,0.1
XGB,300,2,7,0.851667,1.653,0.1351,2.0439,0.1
XGB,300,2,8,0.85,1.6491,0.1397,2.0298,0.09
XGB,300,2,9,0.843333,1.6433,0.1424,2.0478,0.1
XGB,300,2,-1,0.843333,1.6427,0.1437,2.0388,0.0
XGB,300,3,0,0.833333,1.6431,0.1133,1.9966,0.11
XGB,300,3,1,0.831667,1.6386,0.1131,1.9956,0.11
XGB,300,3,2,0.825,1.631,0.1175,2.0238,0.11
XGB,300,3,3,0.825,1.6302,0.1169,2.0,0.11
XGB,300,3,4,0.828333,1.6383,0.1143,2.0092,0.11
XGB,300,3,5,0.838333,1.6505,0.109,1.984,0.11
XGB,300,3,6,0.833333,1.6416,0.1116,1.9977,0.13
XGB,300,3,7,0.828333,1.6421,0.1135,1.9987,0.11
XGB,300,3,8,0.835,1.6469,0.1107,1.9959,0.11
XGB,300,3,9,0.831667,1.6397,0.1129,1.9947,0.11
XGB,300,3,-1,0.83,1.6402,0.1119,1.9962,0.0
XGB,300,4,0,0.871667,1.7315,0.1102,1.9974,0.11
XGB,300,4,1,0.86,1.7075,0.1113,2.0292,0.11
XGB,300,4,2,0.87,1.7182,0.1054,1.9959,0.11
XGB,300,4,3,0.865,1.7189,0.1146,2.014,0.11
XGB,300,4,4,0.87,1.7194,0.1058,1.9965,0.11
XGB,300,4,5,0.865,1.7188,0.1083,2.0005,0.11
